insee_dept,area_id,style,xmin,ymin,xmax,ymax
94,1,94_style1,649176.0,6843143.0,655796.0,6849763.0
94,2,94_style1,649176.0,6849763.0,655796.0,6856383.0
94,3,94_style1,655796.0,6843143.0,662416.0,6849763.0
94,4,94_style1,655796.0,6849763.0,662416.0,6856383.0
94,5,94_style1,662416.0,6843143.0,669036.0,6849763.0
94,6,94_style1,662416.0,6849763.0,669036.0,6856383.0
