WKT,area_id,style,xmin,ymin,xmax,ymax
"MULTIPOLYGON (((692569 6866085,692569 6872705,699189 6872705,699189 6866085,692569 6866085)))",245,94_style1,692569.000000000000000,6866085.000000000000000,699189.000000000000000,6872705.000000000000000
"MULTIPOLYGON (((699189 6859465,699189 6866085,705809 6866085,705809 6859465,699189 6859465)))",265,94_style1,699189.000000000000000,6859465.000000000000000,705809.000000000000000,6866085.000000000000000
"MULTIPOLYGON (((699189 6866085,699189 6872705,705809 6872705,705809 6866085,699189 6866085)))",266,94_style1,699189.000000000000000,6866085.000000000000000,705809.000000000000000,6872705.000000000000000
"MULTIPOLYGON (((639609 6859465,639609 6866085,646229 6866085,646229 6859465,639609 6859465)))",76,94_style1,639609.000000000000000,6859465.000000000000000,646229.000000000000000,6866085.000000000000000
"MULTIPOLYGON (((646229 6859465,646229 6866085,652849 6866085,652849 6859465,646229 6859465)))",97,94_style1,646229.000000000000000,6859465.000000000000000,652849.000000000000000,6866085.000000000000000
"MULTIPOLYGON (((652849 6866085,652849 6872705,659469 6872705,659469 6866085,652849 6866085)))",119,94_style1,652849.000000000000000,6866085.000000000000000,659469.000000000000000,6872705.000000000000000
"MULTIPOLYGON (((646229 6826365,646229 6832985,652849 6832985,652849 6826365,646229 6826365)))",92,94_style1,646229.000000000000000,6826365.000000000000000,652849.000000000000000,6832985.000000000000000
"MULTIPOLYGON (((652849 6819745,652849 6826365,659469 6826365,659469 6819745,652849 6819745)))",112,94_style1,652849.000000000000000,6819745.000000000000000,659469.000000000000000,6826365.000000000000000
"MULTIPOLYGON (((672709 6859465,672709 6866085,679329 6866085,679329 6859465,672709 6859465)))",181,94_style1,672709.000000000000000,6859465.000000000000000,679329.000000000000000,6866085.000000000000000
"MULTIPOLYGON (((679329 6859465,679329 6866085,685949 6866085,685949 6859465,679329 6859465)))",202,94_style1,679329.000000000000000,6859465.000000000000000,685949.000000000000000,6866085.000000000000000
"MULTIPOLYGON (((685949 6839605,685949 6846225,692569 6846225,692569 6839605,685949 6839605)))",220,94_style1,685949.000000000000000,6839605.000000000931323,692569.000000000000000,6846225.000000000000000
"MULTIPOLYGON (((685949 6852845,685949 6859465,692569 6859465,692569 6852845,685949 6852845)))",222,94_style1,685949.000000000000000,6852845.000000000000000,692569.000000000000000,6859465.000000000000000
"MULTIPOLYGON (((692569 6839605,692569 6846225,699189 6846225,699189 6839605,692569 6839605)))",241,94_style1,692569.000000000000000,6839605.000000000931323,699189.000000000000000,6846225.000000000000000
"MULTIPOLYGON (((672709 6813125,672709 6819745,679329 6819745,679329 6813125,672709 6813125)))",174,94_style1,672709.000000000000000,6813125.000000000000000,679329.000000000000000,6819745.000000000000000
"MULTIPOLYGON (((672709 6819745,672709 6826365,679329 6826365,679329 6819745,672709 6819745)))",175,94_style1,672709.000000000000000,6819745.000000000000000,679329.000000000000000,6826365.000000000000000
